,ARRANGED,Commercial Credit Training center,MC,piliyandala,,Monthly,Sunday,,BOSS,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,Maclerans HO,GPC/MC,,,Twice per month,,,Wasantha,,,,,,✅,,,,,,,,,,,,,10:00:00,✅,,,,,,,,,,
,ARRANGED,Maclerans HO,RC,,,Weekly,,,Wasantha,,,,,,✅,,,,✅,4pm rc,,,,,,,,full,✅,,,,,,4pm - out,,,,
,ARRANGED,Silver mill head office,GPC / RC,Kinsey Road - colombo,,Monthly,,,Wasantha,,,,,,,✅,,,,,,,,,,,,,✅,,,,,,,,,,
,ARRANGED,Commercial Credit ,GPC/MC,Nuwara Eliya,742564134 Padmasiri,Monthly,no,1 HRS 1 PCT,saman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,MSC,MC,Bauddaloka mawatha,,Twice per month,,,BOSS,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,MSC,GPC/RC,Bauddaloka mawatha,,Monthly,,,BOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,Earls Reef,GPC/RC/MC,Beruwala,,Monthly,,,Wasantha,,,,,,,,,,,,,,,,✅,,,,,,,,,,,,,,
,ARRANGED,Andrews Premium (Gills Wattala),GPC/RC,Wattala,,Monthly,,,Wasantha,,,,,,,,,,,,,,,,,,,,,✅,,,,,,,,,
,ARRANGED,Sethma Hospitals,GPC / RC,Gampaha,,Monthly,,,Suraj,,,,,,,,,,,,,,,,,✅,,,,,,,,,,,,,
,ARRANGED,Sethma Hospitals,MC,Gampaha,,Monthly,,,Suraj,,,,,,,,,,,,,,,,,✅,,,,,,,,,,,,,
,TO BE ,Ceymed Hospital,GPC/RC,Nugegoda,,Monthly,,,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Ceylon Haurmet,GPC/RC,Pannala,,Monthly,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Spice Land (Pvt) Ltd,GPC/RC,Athurugiriya,,Monthly,LAST FRIDAY,,rosiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Fort Heritage Ventures (PVT) Ltd,GPC/RC/MC,Mathara,,Monthly,,,Boss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Gills Food - Wattala,GPC+RC,Wattala,,Monthly,Saturday,3 hrs - 02 PCT,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Green Vally,GPC/MC,Hanwella,,Monthly,On call,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Giriulla Mills Limited,,Alawwa Road,,,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Wichy beverage,GPC/RC,,,Monthly,,,Wasantha,,,,,,,,,,✅,,,,,,,,,,,,,,,,,,,,
,TO BE ,Ceymed 1 & 2,GPC/RC,Nugegoda,,Monthly,,,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PRO PEST OPARATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,Continental Teas,GPC/RC,Ja Ela,,Monthly,NO,,Wasantha,,,,,,,,,,,,✅,,,,,,,✅,,,,,,,,,,,
,ARRANGED,Tico Adra,GPC/RC,Colombo,,Monthly,1st Sunday,,Wasantha,,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Mr. Akalanka,GPC,Maharagama,,Twice a month,Friday,,Wasantha,,,,,,,,,,✅,,,,,,,,,,,,,,,,,,,,
,TO BE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02 .,WEEKLEY TREATMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,Food Studio (Pvt) Ltd,GPC,Airport - (KTN),,Weekly,Wedsday,,pubudu,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN
,ARRANGED, Interocean logistics ltd - RDS Wattala house,GPC/RC/MC,Wattala,,Fortnightly,Friday,,BOSS,,,,,❎,,,,,,,✅,,,,,,,✅,,,,,,,,,,,
,ARRANGED, Interocean logistics ltd - RDS Wattala house,MC,Wattala,,Weekly,,,BOSS,,,,,❎,,,,,,,✅,,,,,,,✅,,,,,,,,,,,
,ARRANGED, Interocean services ltd - 2 WH's,GPC/RC,Wattala,,Fortnightly,,,BOSS,,,,,❎,,,,,,,✅,,,,,,,✅,,,,,,,,,,,
,ARRANGED, Interocean logistics ltd - RDS camebridge house,GPC/RC,Colombo,,Fortnightly,Sunday,,BOSS,,,,,,,✅,,,,,,,✅,,,,,,,,,,,,,,,,
,ARRANGED, Interocean logistics ltd - RDS camebridge house,MC,Colombo,,Weekly,,,BOSS,,,✅,,,,✅,,,✅,,,,✅,,,✅,,,,,,,,,,,,,
,ARRANGED,Aliya Pub,GPC/RC,Colombo,,Weekly,SUNDAY,,Pubudu,,,,,,,✅,,,,,,,❎,,,,,,,✅,,,,,,,,,
